landmark_index, pred, ww, wm, mm, mw
1, 0, 43, 0, 0, 34
2, 0, 43, 0, 0, 34
3, 0, 43, 0, 0, 34
4, 1, 43, 0, 34, 0
5, 1, 43, 0, 34, 0
6, 1, 43, 0, 34, 0
7, 0, 43, 0, 0, 34
8, 0, 43, 0, 0, 34
9, 1, 43, 0, 34, 0
10, 1, 43, 0, 34, 0
11, 1, 42, 1, 33, 1
12, 1, 43, 0, 34, 0
13, 1, 42, 1, 34, 0
14, 1, 42, 1, 33, 1
15, 1, 42, 1, 33, 1
16, 0, 43, 0, 0, 34
17, 1, 39, 4, 33, 1
18, 1, 41, 2, 34, 0
19, 1, 22, 21, 33, 1
20, 1, 21, 22, 31, 3
21, 1, 39, 4, 32, 2
22, 1, 41, 2, 31, 3
23, 1, 43, 0, 32, 2
24, 0, 43, 0, 0, 34
25, 1, 28, 15, 31, 3
26, 1, 34, 9, 30, 4
27, 1, 38, 5, 26, 8
28, 1, 37, 6, 27, 7
29, 1, 37, 6, 25, 9
30, 1, 35, 8, 24, 10
31, 1, 40, 3, 26, 8
32, 1, 27, 16, 31, 3
33, 0, 36, 7, 26, 8
34, 0, 38, 5, 24, 10
35, 1, 40, 3, 25, 9
36, 1, 35, 8, 23, 11
37, 1, 36, 7, 26, 8
38, 1, 38, 5, 18, 16
39, 0, 39, 4, 18, 16
40, 1, 32, 11, 28, 6
41, 1, 35, 8, 27, 7
42, 1, 37, 6, 24, 10
43, 0, 34, 9, 21, 13
44, 1, 29, 14, 19, 15
45, 1, 33, 10, 24, 10
46, 1, 31, 12, 26, 8
47, 1, 37, 6, 23, 11
48, 1, 35, 8, 27, 7
49, 1, 33, 10, 26, 8
50, 1, 37, 6, 23, 11
51, 1, 34, 9, 26, 8
52, 1, 35, 8, 24, 10
53, 1, 38, 5, 25, 9
54, 1, 31, 12, 22, 12
55, 1, 34, 9, 21, 13
56, 1, 36, 7, 27, 7
57, 1, 41, 2, 19, 15
58, 1, 34, 9, 27, 7
59, 1, 37, 6, 19, 15
60, 0, 41, 2, 19, 15
61, 1, 35, 8, 26, 8
62, 1, 36, 7, 25, 9
63, 1, 29, 14, 26, 8
64, 1, 32, 11, 24, 10
65, 1, 38, 5, 26, 8
66, 1, 33, 10, 25, 9
67, 1, 39, 4, 15, 19
68, 1, 24, 19, 23, 11
69, 1, 39, 4, 22, 12
70, 1, 33, 10, 22, 12
71, 1, 31, 12, 25, 9
72, 1, 33, 10, 23, 11
73, 1, 35, 8, 21, 13
74, 1, 39, 4, 21, 13
75, 1, 41, 2, 14, 20
76, 0, 43, 0, 0, 34
77, 1, 34, 9, 23, 11
78, 1, 35, 8, 22, 12
79, 1, 37, 6, 19, 15
80, 1, 39, 4, 22, 12
81, 1, 39, 4, 19, 15
82, 1, 38, 5, 17, 17
83, 1, 39, 4, 16, 18
84, 1, 32, 11, 21, 13
85, 1, 28, 15, 27, 7
86, 1, 36, 7, 19, 15
87, 1, 35, 8, 24, 10
88, 1, 39, 4, 23, 11
89, 1, 39, 4, 21, 13
90, 1, 35, 8, 20, 14
91, 1, 35, 8, 23, 11
92, 1, 35, 8, 20, 14
93, 1, 36, 7, 20, 14
94, 1, 39, 4, 23, 11
95, 1, 40, 3, 22, 12
96, 1, 34, 9, 26, 8
97, 1, 37, 6, 24, 10
98, 1, 37, 6, 17, 17
99, 1, 33, 10, 24, 10
100, 1, 40, 3, 20, 14
101, 0, 39, 4, 21, 13
102, 1, 35, 8, 26, 8
103, 1, 40, 3, 20, 14
104, 1, 33, 10, 30, 4
105, 1, 38, 5, 32, 2
106, 1, 35, 8, 27, 7
107, 1, 39, 4, 17, 17
108, 0, 41, 2, 17, 17
109, 1, 36, 7, 26, 8
110, 1, 38, 5, 21, 13
111, 1, 37, 6, 24, 10
112, 1, 38, 5, 27, 7
113, 1, 37, 6, 30, 4
114, 1, 34, 9, 32, 2
115, 1, 38, 5, 28, 6
116, 1, 40, 3, 26, 8
117, 1, 41, 2, 23, 11
118, 1, 39, 4, 21, 13
119, 1, 37, 6, 17, 17
120, 1, 35, 8, 27, 7
121, 1, 37, 6, 31, 3
122, 1, 38, 5, 31, 3
123, 1, 37, 6, 29, 5
124, 1, 38, 5, 28, 6
125, 1, 35, 8, 27, 7
126, 1, 37, 6, 23, 11
127, 1, 29, 14, 28, 6
128, 1, 24, 19, 31, 3
129, 1, 42, 1, 33, 1
130, 1, 41, 2, 34, 0
131, 1, 23, 20, 32, 2
132, 1, 35, 8, 33, 1
133, 1, 22, 21, 32, 2
134, 1, 23, 20, 32, 2
135, 1, 38, 5, 34, 0
136, 1, 43, 0, 33, 1
137, 1, 43, 0, 34, 0
138, 1, 43, 0, 34, 0
139, 1, 43, 0, 34, 0
140, 1, 43, 0, 34, 0
141, 1, 43, 0, 34, 0
142, 1, 43, 0, 34, 0
143, 1, 43, 0, 34, 0
144, 1, 42, 1, 34, 0
145, 0, 43, 0, 0, 34
146, 0, 43, 0, 0, 34
147, 1, 43, 0, 34, 0
148, 1, 43, 0, 34, 0
149, 1, 43, 0, 34, 0
150, 1, 43, 0, 34, 0
151, 1, 43, 0, 34, 0
152, 1, 43, 0, 34, 0
