landmark_index, pred, ww, wm, mm, mw
1, 0, 43, 0, 0, 34
2, 0, 43, 0, 0, 34
3, 0, 43, 0, 0, 34
4, 1, 43, 0, 34, 0
5, 1, 43, 0, 34, 0
6, 1, 43, 0, 34, 0
7, 0, 43, 0, 0, 34
8, 0, 43, 0, 0, 34
9, 1, 43, 0, 34, 0
10, 1, 43, 0, 34, 0
11, 1, 42, 1, 33, 1
12, 1, 43, 0, 34, 0
13, 1, 42, 1, 34, 0
14, 1, 42, 1, 33, 1
15, 1, 42, 1, 33, 1
16, 0, 43, 0, 0, 34
17, 1, 39, 4, 33, 1
18, 1, 41, 2, 34, 0
19, 1, 22, 21, 33, 1
20, 1, 21, 22, 31, 3
21, 1, 39, 4, 32, 2
22, 1, 41, 2, 31, 3
23, 1, 43, 0, 32, 2
24, 0, 43, 0, 0, 34
25, 1, 28, 15, 31, 3
26, 1, 34, 9, 30, 4
27, 1, 38, 5, 26, 8
28, 1, 37, 6, 27, 7
29, 1, 37, 6, 25, 9
30, 1, 35, 8, 24, 10
31, 1, 40, 3, 26, 8
32, 1, 27, 16, 31, 3
33, 0, 36, 7, 26, 8
34, 1, 39, 4, 23, 11
35, 1, 40, 3, 25, 9
36, 1, 34, 9, 23, 11
37, 0, 36, 7, 26, 8
38, 0, 38, 5, 19, 15
39, 0, 39, 4, 16, 18
40, 0, 34, 9, 29, 5
41, 0, 36, 7, 28, 6
42, 1, 37, 6, 22, 12
43, 1, 37, 6, 19, 15
44, 0, 27, 16, 22, 12
45, 0, 34, 9, 24, 10
46, 1, 36, 7, 25, 9
47, 1, 40, 3, 22, 12
48, 1, 36, 7, 27, 7
49, 0, 34, 9, 26, 8
50, 1, 38, 5, 22, 12
51, 1, 35, 8, 26, 8
52, 0, 35, 8, 21, 13
53, 0, 39, 4, 26, 8
54, 1, 31, 12, 22, 12
55, 1, 34, 9, 21, 13
56, 1, 36, 7, 27, 7
57, 1, 41, 2, 19, 15
58, 1, 37, 6, 25, 9
59, 0, 37, 6, 20, 14
60, 0, 38, 5, 22, 12
61, 1, 38, 5, 25, 9
62, 1, 36, 7, 25, 9
63, 1, 29, 14, 26, 8
64, 1, 32, 11, 24, 10
65, 0, 40, 3, 27, 7
66, 1, 33, 10, 25, 9
67, 0, 41, 2, 16, 18
68, 0, 36, 7, 18, 16
69, 1, 39, 4, 22, 12
70, 1, 32, 11, 22, 12
71, 1, 31, 12, 25, 9
72, 1, 32, 11, 23, 11
73, 1, 37, 6, 21, 13
74, 1, 39, 4, 21, 13
75, 0, 42, 1, 15, 19
76, 0, 25, 18, 20, 14
77, 1, 34, 9, 22, 12
78, 1, 35, 8, 22, 12
79, 1, 37, 6, 19, 15
80, 1, 39, 4, 22, 12
81, 0, 39, 4, 20, 14
82, 0, 39, 4, 17, 17
83, 0, 39, 4, 17, 17
84, 0, 32, 11, 24, 10
85, 0, 34, 9, 24, 10
86, 0, 37, 6, 20, 14
87, 1, 35, 8, 24, 10
88, 0, 39, 4, 24, 10
89, 1, 38, 5, 22, 12
90, 1, 35, 8, 20, 14
91, 1, 35, 8, 23, 11
92, 1, 36, 7, 18, 16
93, 0, 36, 7, 21, 13
94, 0, 35, 8, 26, 8
95, 0, 40, 3, 24, 10
96, 1, 34, 9, 26, 8
97, 1, 37, 6, 24, 10
98, 1, 36, 7, 18, 16
99, 1, 33, 10, 24, 10
100, 1, 40, 3, 20, 14
101, 1, 38, 5, 21, 13
102, 1, 31, 12, 29, 5
103, 1, 40, 3, 20, 14
104, 1, 34, 9, 30, 4
105, 1, 38, 5, 32, 2
106, 1, 35, 8, 27, 7
107, 1, 35, 8, 21, 13
108, 1, 41, 2, 15, 19
109, 1, 36, 7, 26, 8
110, 1, 38, 5, 21, 13
111, 1, 37, 6, 24, 10
112, 1, 38, 5, 27, 7
113, 1, 37, 6, 30, 4
114, 1, 34, 9, 32, 2
115, 1, 38, 5, 28, 6
116, 1, 40, 3, 26, 8
117, 1, 41, 2, 23, 11
118, 1, 39, 4, 21, 13
119, 1, 37, 6, 17, 17
120, 1, 35, 8, 27, 7
121, 1, 37, 6, 31, 3
122, 1, 38, 5, 31, 3
123, 1, 37, 6, 29, 5
124, 1, 38, 5, 28, 6
125, 1, 35, 8, 27, 7
126, 1, 37, 6, 23, 11
127, 1, 29, 14, 28, 6
128, 1, 24, 19, 31, 3
129, 1, 42, 1, 33, 1
130, 1, 41, 2, 34, 0
131, 1, 23, 20, 32, 2
132, 1, 35, 8, 33, 1
133, 1, 22, 21, 32, 2
134, 1, 23, 20, 32, 2
135, 1, 38, 5, 34, 0
136, 1, 43, 0, 33, 1
137, 1, 43, 0, 34, 0
138, 1, 43, 0, 34, 0
139, 1, 43, 0, 34, 0
140, 1, 43, 0, 34, 0
141, 1, 43, 0, 34, 0
142, 1, 43, 0, 34, 0
143, 1, 43, 0, 34, 0
144, 1, 42, 1, 34, 0
145, 0, 43, 0, 0, 34
146, 0, 43, 0, 0, 34
147, 1, 43, 0, 34, 0
148, 1, 43, 0, 34, 0
149, 1, 43, 0, 34, 0
150, 1, 43, 0, 34, 0
151, 1, 43, 0, 34, 0
152, 1, 43, 0, 34, 0
