landmark_index, pred, ww, wm, mm, mw
1, 0, 43, 0, 0, 11
2, 0, 43, 0, 0, 11
3, 0, 43, 0, 0, 11
4, 0, 43, 0, 0, 11
5, 0, 43, 0, 0, 11
6, 0, 43, 0, 0, 11
7, 0, 43, 0, 0, 11
8, 0, 43, 0, 0, 11
9, 0, 43, 0, 0, 11
10, 0, 43, 0, 0, 11
11, 0, 43, 0, 0, 11
12, 0, 43, 0, 0, 11
13, 0, 43, 0, 0, 11
14, 0, 43, 0, 0, 11
15, 0, 43, 0, 0, 11
16, 0, 43, 0, 0, 11
17, 0, 43, 0, 0, 11
18, 0, 43, 0, 0, 11
19, 0, 43, 0, 0, 11
20, 0, 43, 0, 0, 11
21, 0, 43, 0, 0, 11
22, 0, 43, 0, 0, 11
23, 0, 43, 0, 0, 11
24, 0, 43, 0, 0, 11
25, 0, 43, 0, 0, 11
26, 1, 36, 7, 10, 1
27, 0, 39, 4, 11, 0
28, 0, 42, 1, 11, 0
29, 0, 40, 3, 9, 2
30, 0, 36, 7, 10, 1
31, 0, 43, 0, 0, 11
32, 0, 43, 0, 0, 11
33, 1, 36, 7, 8, 3
34, 1, 39, 4, 8, 3
35, 1, 42, 1, 9, 2
36, 1, 40, 3, 9, 2
37, 1, 40, 3, 9, 2
38, 0, 42, 1, 9, 2
39, 0, 39, 4, 8, 3
40, 0, 38, 5, 9, 2
41, 0, 39, 4, 10, 1
42, 1, 40, 3, 8, 3
43, 1, 41, 2, 9, 2
44, 1, 40, 3, 6, 5
45, 1, 40, 3, 5, 6
46, 1, 40, 3, 10, 1
47, 1, 40, 3, 10, 1
48, 1, 42, 1, 9, 2
49, 0, 42, 1, 10, 1
50, 1, 43, 0, 10, 1
51, 1, 42, 1, 8, 3
52, 1, 42, 1, 8, 3
53, 1, 43, 0, 8, 3
54, 0, 43, 0, 6, 5
55, 1, 41, 2, 9, 2
56, 1, 42, 1, 10, 1
57, 1, 42, 1, 11, 0
58, 1, 41, 2, 11, 0
59, 1, 40, 3, 10, 1
60, 0, 41, 2, 9, 2
61, 0, 42, 1, 10, 1
62, 0, 36, 7, 10, 1
63, 1, 38, 5, 11, 0
64, 1, 39, 4, 11, 0
65, 1, 42, 1, 11, 0
66, 1, 42, 1, 10, 1
67, 1, 41, 2, 10, 1
68, 0, 39, 4, 10, 1
69, 0, 41, 2, 11, 0
70, 1, 37, 6, 9, 2
71, 1, 37, 6, 10, 1
72, 1, 40, 3, 10, 1
73, 1, 42, 1, 10, 1
74, 1, 43, 0, 10, 1
75, 1, 43, 0, 10, 1
76, 0, 41, 2, 10, 1
77, 1, 41, 2, 10, 1
78, 1, 43, 0, 10, 1
79, 1, 42, 1, 11, 0
80, 1, 42, 1, 11, 0
81, 1, 42, 1, 10, 1
82, 1, 43, 0, 11, 0
83, 1, 42, 1, 11, 0
84, 1, 43, 0, 11, 0
85, 1, 43, 0, 9, 2
86, 1, 42, 1, 10, 1
87, 1, 42, 1, 10, 1
88, 1, 42, 1, 11, 0
89, 1, 43, 0, 11, 0
90, 1, 40, 3, 11, 0
91, 0, 41, 2, 9, 2
92, 1, 41, 2, 9, 2
93, 1, 38, 5, 10, 1
94, 1, 40, 3, 10, 1
95, 1, 41, 2, 10, 1
96, 1, 43, 0, 10, 1
97, 0, 42, 1, 10, 1
98, 0, 42, 1, 11, 0
99, 1, 39, 4, 10, 1
100, 1, 41, 2, 9, 2
101, 1, 40, 3, 10, 1
102, 1, 42, 1, 7, 4
103, 1, 41, 2, 11, 0
104, 0, 42, 1, 10, 1
105, 1, 42, 1, 10, 1
106, 1, 40, 3, 7, 4
107, 1, 40, 3, 9, 2
108, 1, 41, 2, 9, 2
109, 1, 40, 3, 10, 1
110, 1, 42, 1, 8, 3
111, 1, 42, 1, 9, 2
112, 0, 41, 2, 10, 1
113, 1, 38, 5, 10, 1
114, 1, 39, 4, 9, 2
115, 1, 40, 3, 10, 1
116, 1, 43, 0, 11, 0
117, 0, 42, 1, 11, 0
118, 0, 41, 2, 10, 1
119, 0, 41, 2, 5, 6
120, 1, 39, 4, 10, 1
121, 0, 43, 0, 0, 11
122, 0, 43, 0, 0, 11
123, 1, 38, 5, 11, 0
124, 0, 40, 3, 11, 0
125, 0, 40, 3, 11, 0
126, 1, 38, 5, 10, 1
127, 0, 43, 0, 0, 11
128, 0, 43, 0, 0, 11
129, 0, 43, 0, 0, 11
130, 0, 43, 0, 0, 11
131, 0, 43, 0, 0, 11
132, 0, 43, 0, 0, 11
133, 0, 43, 0, 0, 11
134, 0, 43, 0, 0, 11
135, 0, 43, 0, 0, 11
136, 0, 43, 0, 0, 11
137, 0, 43, 0, 0, 11
138, 0, 43, 0, 0, 11
139, 0, 43, 0, 0, 11
140, 0, 43, 0, 0, 11
141, 0, 43, 0, 0, 11
142, 0, 43, 0, 0, 11
143, 0, 43, 0, 0, 11
144, 0, 43, 0, 0, 11
145, 0, 43, 0, 0, 11
146, 0, 43, 0, 0, 11
147, 0, 43, 0, 0, 11
148, 0, 43, 0, 0, 11
149, 0, 43, 0, 0, 11
150, 0, 43, 0, 0, 11
151, 0, 43, 0, 0, 11
152, 0, 43, 0, 0, 11
