landmark_index, pred, ww, wm, mm, mw
1, 0, 42, 0, 0, 35
2, 0, 42, 0, 0, 35
3, 0, 42, 0, 0, 35
4, 0, 42, 0, 35, 0
5, 0, 42, 0, 35, 0
6, 1, 42, 0, 35, 0
7, 0, 42, 0, 0, 35
8, 0, 42, 0, 0, 35
9, 0, 42, 0, 35, 0
10, 0, 42, 0, 35, 0
11, 0, 40, 2, 34, 1
12, 0, 42, 0, 35, 0
13, 0, 42, 0, 34, 1
14, 0, 37, 5, 34, 1
15, 1, 42, 0, 34, 1
16, 0, 42, 0, 0, 35
17, 0, 37, 5, 34, 1
18, 1, 40, 2, 34, 1
19, 0, 27, 15, 31, 4
20, 0, 24, 18, 32, 3
21, 0, 38, 4, 32, 3
22, 0, 42, 0, 31, 4
23, 0, 42, 0, 33, 2
24, 0, 41, 1, 34, 1
25, 0, 31, 11, 29, 6
26, 0, 34, 8, 29, 6
27, 0, 37, 5, 27, 8
28, 0, 37, 5, 26, 9
29, 0, 36, 6, 26, 9
30, 0, 33, 9, 26, 9
31, 0, 40, 2, 26, 9
32, 0, 29, 13, 31, 4
33, 0, 35, 7, 28, 7
34, 0, 38, 4, 26, 9
35, 0, 39, 3, 26, 9
36, 1, 38, 4, 20, 15
37, 1, 36, 6, 27, 8
38, 1, 35, 7, 21, 14
39, 0, 37, 5, 20, 15
40, 0, 39, 3, 24, 11
41, 0, 34, 8, 28, 7
42, 0, 36, 6, 24, 11
43, 0, 42, 0, 15, 20
44, 1, 34, 8, 9, 26
45, 1, 33, 9, 26, 9
46, 1, 35, 7, 26, 9
47, 1, 37, 5, 24, 11
48, 0, 34, 8, 28, 7
49, 0, 37, 5, 24, 11
50, 1, 37, 5, 22, 13
51, 1, 34, 8, 26, 9
52, 1, 35, 7, 25, 10
53, 1, 38, 4, 26, 9
54, 1, 33, 9, 18, 17
55, 1, 39, 3, 17, 18
56, 0, 35, 7, 29, 6
57, 0, 38, 4, 21, 14
58, 1, 36, 6, 26, 9
59, 1, 38, 4, 20, 15
60, 1, 39, 3, 21, 14
61, 1, 35, 7, 27, 8
62, 1, 35, 7, 26, 9
63, 1, 29, 13, 27, 8
64, 0, 35, 7, 25, 10
65, 0, 37, 5, 27, 8
66, 1, 33, 9, 26, 9
67, 1, 28, 14, 25, 10
68, 1, 36, 6, 17, 18
69, 1, 39, 3, 23, 12
70, 1, 36, 6, 23, 12
71, 1, 32, 10, 25, 10
72, 0, 34, 8, 23, 12
73, 0, 36, 6, 20, 15
74, 0, 38, 4, 22, 13
75, 0, 41, 1, 14, 21
76, 0, 32, 10, 14, 21
77, 1, 27, 15, 28, 7
78, 1, 30, 12, 23, 12
79, 1, 34, 8, 23, 12
80, 0, 33, 9, 26, 9
81, 0, 38, 4, 20, 15
82, 0, 37, 5, 18, 17
83, 0, 37, 5, 17, 18
84, 0, 37, 5, 17, 18
85, 1, 26, 16, 29, 6
86, 0, 36, 6, 20, 15
87, 0, 34, 8, 25, 10
88, 0, 32, 10, 28, 7
89, 0, 39, 3, 20, 15
90, 1, 34, 8, 21, 14
91, 0, 34, 8, 24, 11
92, 0, 34, 8, 21, 14
93, 0, 35, 7, 21, 14
94, 0, 34, 8, 26, 9
95, 0, 39, 3, 24, 11
96, 1, 34, 8, 27, 8
97, 1, 40, 2, 21, 14
98, 1, 36, 6, 19, 16
99, 0, 37, 5, 20, 15
100, 0, 39, 3, 24, 11
101, 0, 37, 5, 22, 13
102, 0, 34, 8, 27, 8
103, 0, 38, 4, 21, 14
104, 1, 34, 8, 31, 4
105, 1, 38, 4, 32, 3
106, 1, 38, 4, 26, 9
107, 1, 34, 8, 24, 11
108, 0, 37, 5, 19, 16
109, 0, 35, 7, 27, 8
110, 1, 36, 6, 22, 13
111, 0, 36, 6, 25, 10
112, 1, 35, 7, 29, 6
113, 0, 36, 6, 31, 4
114, 1, 34, 8, 33, 2
115, 1, 36, 6, 29, 6
116, 0, 39, 3, 27, 8
117, 0, 40, 2, 24, 11
118, 1, 39, 3, 22, 13
119, 0, 26, 16, 28, 7
120, 0, 29, 13, 32, 3
121, 0, 36, 6, 32, 3
122, 1, 34, 8, 33, 2
123, 0, 35, 7, 30, 5
124, 0, 38, 4, 30, 5
125, 0, 34, 8, 28, 7
126, 0, 34, 8, 26, 9
127, 0, 39, 3, 25, 10
128, 0, 22, 20, 34, 1
129, 0, 42, 0, 34, 1
130, 0, 39, 3, 34, 1
131, 0, 26, 16, 33, 2
132, 0, 32, 10, 33, 2
133, 0, 40, 2, 32, 3
134, 0, 21, 21, 33, 2
135, 0, 36, 6, 34, 1
136, 0, 42, 0, 34, 1
137, 0, 41, 1, 35, 0
138, 0, 42, 0, 35, 0
139, 0, 42, 0, 35, 0
140, 0, 41, 1, 35, 0
141, 0, 42, 0, 35, 0
142, 0, 42, 0, 35, 0
143, 0, 42, 0, 35, 0
144, 0, 41, 1, 35, 0
145, 0, 42, 0, 0, 35
146, 0, 42, 0, 0, 35
147, 1, 42, 0, 35, 0
148, 0, 42, 0, 35, 0
149, 1, 42, 0, 35, 0
150, 0, 42, 0, 35, 0
151, 0, 42, 0, 35, 0
152, 1, 42, 0, 35, 0
