landmark_index, pred, ww, wm, mm, mw
1, 0, 42, 0, 0, 35
2, 0, 42, 0, 0, 35
3, 0, 42, 0, 0, 35
4, 0, 42, 0, 35, 0
5, 0, 42, 0, 35, 0
6, 0, 42, 0, 35, 0
7, 0, 42, 0, 0, 35
8, 0, 42, 0, 0, 35
9, 0, 42, 0, 35, 0
10, 0, 42, 0, 35, 0
11, 0, 40, 2, 34, 1
12, 0, 42, 0, 35, 0
13, 0, 42, 0, 34, 1
14, 0, 37, 5, 34, 1
15, 0, 42, 0, 34, 1
16, 0, 42, 0, 0, 35
17, 0, 37, 5, 34, 1
18, 0, 39, 3, 34, 1
19, 0, 27, 15, 31, 4
20, 0, 24, 18, 32, 3
21, 0, 38, 4, 32, 3
22, 0, 42, 0, 31, 4
23, 0, 42, 0, 33, 2
24, 0, 41, 1, 34, 1
25, 0, 31, 11, 29, 6
26, 0, 34, 8, 29, 6
27, 0, 36, 6, 27, 8
28, 0, 37, 5, 26, 9
29, 0, 36, 6, 26, 9
30, 0, 33, 9, 26, 9
31, 0, 41, 1, 26, 9
32, 0, 29, 13, 31, 4
33, 0, 35, 7, 26, 9
34, 0, 38, 4, 26, 9
35, 0, 39, 3, 26, 9
36, 0, 36, 6, 23, 12
37, 0, 35, 7, 27, 8
38, 1, 35, 7, 20, 15
39, 0, 37, 5, 20, 15
40, 0, 39, 3, 24, 11
41, 0, 34, 8, 28, 7
42, 0, 36, 6, 25, 10
43, 0, 42, 0, 15, 20
44, 0, 39, 3, 10, 25
45, 0, 32, 10, 25, 10
46, 0, 34, 8, 26, 9
47, 0, 36, 6, 24, 11
48, 0, 33, 9, 29, 6
49, 0, 37, 5, 24, 11
50, 0, 36, 6, 24, 11
51, 0, 33, 9, 25, 10
52, 1, 33, 9, 25, 10
53, 0, 36, 6, 26, 9
54, 0, 30, 12, 23, 12
55, 0, 39, 3, 18, 17
56, 0, 35, 7, 28, 7
57, 0, 40, 2, 20, 15
58, 0, 36, 6, 26, 9
59, 0, 39, 3, 19, 16
60, 0, 37, 5, 21, 14
61, 0, 34, 8, 27, 8
62, 0, 35, 7, 26, 9
63, 0, 28, 14, 27, 8
64, 0, 31, 11, 25, 10
65, 0, 37, 5, 27, 8
66, 0, 36, 6, 24, 11
67, 0, 30, 12, 23, 12
68, 0, 35, 7, 14, 21
69, 0, 38, 4, 23, 12
70, 0, 31, 11, 23, 12
71, 0, 31, 11, 25, 10
72, 0, 34, 8, 23, 12
73, 0, 36, 6, 20, 15
74, 0, 38, 4, 22, 13
75, 0, 36, 6, 14, 21
76, 0, 32, 10, 14, 21
77, 0, 32, 10, 26, 9
78, 0, 30, 12, 23, 12
79, 0, 36, 6, 20, 15
80, 0, 37, 5, 23, 12
81, 0, 38, 4, 20, 15
82, 0, 37, 5, 18, 17
83, 0, 38, 4, 17, 18
84, 0, 36, 6, 16, 19
85, 1, 27, 15, 29, 6
86, 0, 36, 6, 20, 15
87, 0, 34, 8, 24, 11
88, 0, 34, 8, 24, 11
89, 0, 39, 3, 20, 15
90, 0, 33, 9, 22, 13
91, 0, 34, 8, 24, 11
92, 0, 34, 8, 21, 14
93, 0, 35, 7, 21, 14
94, 0, 38, 4, 24, 11
95, 0, 39, 3, 24, 11
96, 0, 33, 9, 27, 8
97, 0, 38, 4, 23, 12
98, 0, 35, 7, 19, 16
99, 0, 36, 6, 22, 13
100, 0, 39, 3, 21, 14
101, 0, 37, 5, 22, 13
102, 0, 27, 15, 30, 5
103, 0, 39, 3, 21, 14
104, 0, 33, 9, 31, 4
105, 0, 37, 5, 33, 2
106, 0, 35, 7, 26, 9
107, 1, 33, 9, 24, 11
108, 1, 30, 12, 23, 12
109, 1, 36, 6, 27, 8
110, 0, 35, 7, 21, 14
111, 0, 36, 6, 25, 10
112, 0, 34, 8, 29, 6
113, 0, 36, 6, 31, 4
114, 0, 33, 9, 33, 2
115, 0, 41, 1, 27, 8
116, 0, 39, 3, 27, 8
117, 0, 37, 5, 25, 10
118, 0, 38, 4, 22, 13
119, 0, 26, 16, 28, 7
120, 0, 33, 9, 28, 7
121, 0, 36, 6, 32, 3
122, 1, 33, 9, 33, 2
123, 0, 33, 9, 31, 4
124, 0, 38, 4, 30, 5
125, 0, 34, 8, 28, 7
126, 0, 34, 8, 26, 9
127, 0, 39, 3, 25, 10
128, 1, 22, 20, 34, 1
129, 0, 42, 0, 34, 1
130, 0, 39, 3, 34, 1
131, 0, 26, 16, 33, 2
132, 1, 33, 9, 33, 2
133, 0, 40, 2, 32, 3
134, 0, 21, 21, 33, 2
135, 0, 36, 6, 34, 1
136, 0, 42, 0, 34, 1
137, 0, 41, 1, 35, 0
138, 0, 42, 0, 35, 0
139, 0, 42, 0, 35, 0
140, 0, 41, 1, 35, 0
141, 0, 42, 0, 35, 0
142, 0, 42, 0, 35, 0
143, 0, 42, 0, 35, 0
144, 0, 41, 1, 35, 0
145, 0, 42, 0, 0, 35
146, 0, 42, 0, 0, 35
147, 0, 42, 0, 35, 0
148, 0, 42, 0, 35, 0
149, 0, 42, 0, 35, 0
150, 0, 42, 0, 35, 0
151, 0, 42, 0, 35, 0
152, 0, 42, 0, 35, 0
