landmark_index, pred, ww, wm, mm, mw
1, 0, 43, 0, 0, 34
2, 0, 43, 0, 0, 34
3, 0, 43, 0, 0, 34
4, 1, 43, 0, 34, 0
5, 1, 43, 0, 34, 0
6, 1, 43, 0, 34, 0
7, 0, 43, 0, 0, 34
8, 0, 43, 0, 0, 34
9, 1, 43, 0, 34, 0
10, 1, 43, 0, 34, 0
11, 1, 41, 2, 33, 1
12, 1, 43, 0, 34, 0
13, 1, 43, 0, 33, 1
14, 1, 38, 5, 33, 1
15, 1, 43, 0, 33, 1
16, 0, 43, 0, 0, 34
17, 1, 38, 5, 33, 1
18, 1, 40, 3, 33, 1
19, 1, 28, 15, 30, 4
20, 1, 25, 18, 31, 3
21, 1, 39, 4, 31, 3
22, 1, 43, 0, 30, 4
23, 1, 43, 0, 32, 2
24, 1, 42, 1, 33, 1
25, 1, 32, 11, 28, 6
26, 1, 35, 8, 28, 6
27, 1, 38, 5, 26, 8
28, 1, 38, 5, 25, 9
29, 1, 40, 3, 24, 10
30, 1, 34, 9, 25, 9
31, 1, 42, 1, 24, 10
32, 1, 30, 13, 30, 4
33, 1, 36, 7, 25, 9
34, 1, 39, 4, 25, 9
35, 1, 40, 3, 25, 9
36, 1, 38, 5, 19, 15
37, 1, 36, 7, 26, 8
38, 1, 35, 8, 20, 14
39, 1, 38, 5, 19, 15
40, 1, 40, 3, 23, 11
41, 1, 35, 8, 27, 7
42, 1, 36, 7, 25, 9
43, 1, 28, 15, 23, 11
44, 0, 37, 6, 13, 21
45, 1, 33, 10, 25, 9
46, 1, 35, 8, 25, 9
47, 1, 37, 6, 23, 11
48, 1, 35, 8, 27, 7
49, 1, 38, 5, 23, 11
50, 1, 37, 6, 21, 13
51, 1, 35, 8, 24, 10
52, 1, 35, 8, 24, 10
53, 1, 37, 6, 25, 9
54, 0, 35, 8, 17, 17
55, 1, 40, 3, 17, 17
56, 1, 36, 7, 27, 7
57, 1, 38, 5, 20, 14
58, 1, 37, 6, 25, 9
59, 1, 40, 3, 18, 16
60, 1, 41, 2, 18, 16
61, 1, 35, 8, 26, 8
62, 1, 36, 7, 25, 9
63, 1, 32, 11, 20, 14
64, 1, 33, 10, 24, 10
65, 1, 38, 5, 26, 8
66, 1, 37, 6, 22, 12
67, 1, 39, 4, 15, 19
68, 0, 36, 7, 14, 20
69, 1, 39, 4, 22, 12
70, 1, 32, 11, 22, 12
71, 1, 32, 11, 24, 10
72, 1, 35, 8, 22, 12
73, 1, 37, 6, 19, 15
74, 1, 39, 4, 21, 13
75, 1, 42, 1, 13, 21
76, 1, 34, 9, 13, 21
77, 1, 26, 17, 27, 7
78, 1, 35, 8, 22, 12
79, 1, 37, 6, 19, 15
80, 1, 34, 9, 25, 9
81, 1, 39, 4, 19, 15
82, 1, 38, 5, 17, 17
83, 1, 39, 4, 16, 18
84, 1, 37, 6, 15, 19
85, 1, 26, 17, 28, 6
86, 1, 37, 6, 19, 15
87, 1, 35, 8, 24, 10
88, 1, 35, 8, 23, 11
89, 1, 40, 3, 19, 15
90, 1, 34, 9, 21, 13
91, 1, 35, 8, 23, 11
92, 1, 35, 8, 20, 14
93, 1, 36, 7, 20, 14
94, 1, 39, 4, 23, 11
95, 1, 40, 3, 23, 11
96, 1, 34, 9, 26, 8
97, 1, 40, 3, 20, 14
98, 1, 36, 7, 18, 16
99, 1, 37, 6, 21, 13
100, 1, 40, 3, 20, 14
101, 1, 38, 5, 21, 13
102, 0, 35, 8, 23, 11
103, 1, 41, 2, 18, 16
104, 1, 34, 9, 30, 4
105, 1, 38, 5, 31, 3
106, 1, 38, 5, 25, 9
107, 1, 35, 8, 21, 13
108, 1, 30, 13, 22, 12
109, 1, 36, 7, 26, 8
110, 1, 36, 7, 21, 13
111, 1, 37, 6, 24, 10
112, 1, 38, 5, 27, 7
113, 1, 37, 6, 30, 4
114, 1, 34, 9, 32, 2
115, 1, 38, 5, 28, 6
116, 1, 40, 3, 26, 8
117, 1, 41, 2, 23, 11
118, 1, 39, 4, 21, 13
119, 0, 37, 6, 18, 16
120, 1, 30, 13, 31, 3
121, 1, 37, 6, 31, 3
122, 1, 33, 10, 32, 2
123, 1, 34, 9, 30, 4
124, 1, 39, 4, 29, 5
125, 1, 35, 8, 27, 7
126, 1, 35, 8, 25, 9
127, 1, 40, 3, 24, 10
128, 1, 23, 20, 33, 1
129, 1, 43, 0, 33, 1
130, 1, 40, 3, 33, 1
131, 1, 27, 16, 32, 2
132, 1, 33, 10, 32, 2
133, 1, 41, 2, 31, 3
134, 1, 22, 21, 32, 2
135, 1, 37, 6, 33, 1
136, 1, 43, 0, 33, 1
137, 1, 42, 1, 34, 0
138, 1, 43, 0, 34, 0
139, 1, 43, 0, 34, 0
140, 1, 42, 1, 34, 0
141, 1, 43, 0, 34, 0
142, 1, 43, 0, 34, 0
143, 1, 43, 0, 34, 0
144, 1, 42, 1, 34, 0
145, 0, 43, 0, 0, 34
146, 0, 43, 0, 0, 34
147, 1, 43, 0, 34, 0
148, 1, 43, 0, 34, 0
149, 1, 43, 0, 34, 0
150, 1, 43, 0, 34, 0
151, 1, 43, 0, 34, 0
152, 1, 43, 0, 34, 0
