landmark_index, pred, ww, wm, mm, mw
1, 0, 42, 0, 0, 35
2, 0, 42, 0, 0, 35
3, 0, 42, 0, 0, 35
4, 0, 42, 0, 35, 0
5, 0, 42, 0, 35, 0
6, 0, 42, 0, 35, 0
7, 0, 42, 0, 0, 35
8, 0, 42, 0, 0, 35
9, 0, 42, 0, 35, 0
10, 0, 42, 0, 35, 0
11, 0, 40, 2, 34, 1
12, 0, 42, 0, 35, 0
13, 0, 42, 0, 34, 1
14, 0, 37, 5, 34, 1
15, 0, 42, 0, 34, 1
16, 0, 42, 0, 0, 35
17, 0, 37, 5, 34, 1
18, 0, 39, 3, 34, 1
19, 1, 28, 14, 31, 4
20, 1, 25, 17, 32, 3
21, 0, 38, 4, 32, 3
22, 0, 42, 0, 31, 4
23, 0, 42, 0, 33, 2
24, 0, 41, 1, 34, 1
25, 0, 31, 11, 29, 6
26, 0, 34, 8, 29, 6
27, 1, 36, 6, 27, 8
28, 0, 37, 5, 26, 9
29, 1, 36, 6, 28, 7
30, 1, 34, 8, 26, 9
31, 0, 41, 1, 26, 9
32, 0, 29, 13, 31, 4
33, 1, 36, 6, 26, 9
34, 0, 38, 4, 26, 9
35, 0, 39, 3, 26, 9
36, 0, 35, 7, 23, 12
37, 1, 36, 6, 27, 8
38, 0, 34, 8, 21, 14
39, 0, 37, 5, 20, 15
40, 1, 40, 2, 24, 11
41, 1, 35, 7, 29, 6
42, 0, 36, 6, 24, 11
43, 1, 31, 11, 21, 14
44, 1, 35, 7, 17, 18
45, 1, 33, 9, 26, 9
46, 0, 34, 8, 26, 9
47, 0, 36, 6, 24, 11
48, 1, 35, 7, 28, 7
49, 1, 37, 5, 24, 11
50, 0, 36, 6, 22, 13
51, 1, 35, 7, 23, 12
52, 1, 35, 7, 23, 12
53, 0, 37, 5, 26, 9
54, 0, 30, 12, 23, 12
55, 0, 33, 9, 23, 12
56, 1, 36, 6, 29, 6
57, 0, 40, 2, 20, 15
58, 0, 36, 6, 26, 9
59, 0, 37, 5, 20, 15
60, 0, 37, 5, 22, 13
61, 0, 34, 8, 27, 8
62, 0, 35, 7, 26, 9
63, 1, 29, 13, 27, 8
64, 1, 32, 10, 25, 10
65, 0, 37, 5, 27, 8
66, 0, 36, 6, 24, 11
67, 1, 28, 14, 25, 10
68, 1, 36, 6, 17, 18
69, 0, 38, 4, 23, 12
70, 0, 32, 10, 24, 11
71, 1, 33, 9, 25, 10
72, 1, 32, 10, 24, 11
73, 0, 36, 6, 20, 15
74, 0, 38, 4, 22, 13
75, 0, 36, 6, 14, 21
76, 0, 33, 9, 14, 21
77, 0, 25, 17, 28, 7
78, 0, 34, 8, 23, 12
79, 0, 34, 8, 23, 12
80, 0, 35, 7, 23, 12
81, 0, 38, 4, 20, 15
82, 0, 37, 5, 18, 17
83, 1, 39, 3, 17, 18
84, 1, 37, 5, 16, 19
85, 0, 25, 17, 29, 6
86, 0, 36, 6, 20, 15
87, 0, 34, 8, 25, 10
88, 0, 33, 9, 28, 7
89, 0, 39, 3, 20, 15
90, 1, 34, 8, 22, 13
91, 1, 35, 7, 24, 11
92, 0, 34, 8, 20, 15
93, 0, 35, 7, 21, 14
94, 0, 38, 4, 24, 11
95, 0, 39, 3, 23, 12
96, 0, 33, 9, 27, 8
97, 0, 38, 4, 24, 11
98, 0, 36, 6, 19, 16
99, 1, 36, 6, 24, 11
100, 0, 39, 3, 21, 14
101, 0, 37, 5, 22, 13
102, 0, 34, 8, 27, 8
103, 1, 39, 3, 21, 14
104, 1, 34, 8, 31, 4
105, 0, 39, 3, 30, 5
106, 0, 37, 5, 26, 9
107, 1, 35, 7, 22, 13
108, 0, 40, 2, 16, 19
109, 0, 35, 7, 27, 8
110, 0, 37, 5, 22, 13
111, 1, 37, 5, 25, 10
112, 1, 38, 4, 28, 7
113, 1, 37, 5, 31, 4
114, 1, 34, 8, 33, 2
115, 0, 37, 5, 29, 6
116, 0, 39, 3, 27, 8
117, 1, 40, 2, 24, 11
118, 1, 39, 3, 22, 13
119, 1, 37, 5, 18, 17
120, 1, 34, 8, 27, 8
121, 0, 36, 6, 32, 3
122, 0, 32, 10, 33, 2
123, 1, 36, 6, 30, 5
124, 1, 39, 3, 30, 5
125, 1, 35, 7, 28, 7
126, 1, 35, 7, 26, 9
127, 0, 39, 3, 26, 9
128, 1, 23, 19, 34, 1
129, 0, 42, 0, 34, 1
130, 0, 39, 3, 34, 1
131, 1, 27, 15, 33, 2
132, 1, 22, 20, 33, 2
133, 0, 40, 2, 32, 3
134, 1, 21, 21, 33, 2
135, 0, 36, 6, 34, 1
136, 0, 42, 0, 34, 1
137, 0, 41, 1, 35, 0
138, 0, 42, 0, 35, 0
139, 0, 42, 0, 35, 0
140, 0, 41, 1, 35, 0
141, 0, 42, 0, 35, 0
142, 0, 42, 0, 35, 0
143, 0, 42, 0, 35, 0
144, 0, 41, 1, 35, 0
145, 0, 42, 0, 0, 35
146, 0, 42, 0, 0, 35
147, 0, 42, 0, 35, 0
148, 0, 42, 0, 35, 0
149, 0, 42, 0, 35, 0
150, 0, 42, 0, 35, 0
151, 0, 42, 0, 35, 0
152, 0, 42, 0, 35, 0
